"country","goal_number","analysis_prompt"
Croatia,"13","The UNSDG goal for Croatia has an index of 83 in 2024 and this has changed by -1.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2009.
Trends in the SDG indicators used to compute the index: 
CO₂ emissions from fossil fuel combustion and cement production (tCO2/capita): 78.0000, Change from previous year in percent: 0.0000
GHG emissions embodied in imports (tCO₂/capita): 74.0000, Change from previous year in percent: 0.0000
CO₂ emissions embodied in fossil fuel exports (tonnes/capita): 98.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Climate Action is projected to be 86 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal13_projection: 85 
year: 2026, goal13_projection: 85 
year: 2027, goal13_projection: 86 
year: 2028, goal13_projection: 86 
year: 2029, goal13_projection: 86 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of global CO₂ emissions** 
 with short desc: Carbon dioxide (CO₂) emissions from [fossil fuels and industry](#dod:fossilemissions). Land-use change is not included. 
 Cite as Global Carbon Budget (2024) with url https://ourworldindata.org/grapher/annual-share-of-co2-emissions?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **emissions of air pollutants** 
 with short desc: Air pollutants are gases that can lead to negative impacts on human health and ecosystems. Most are produced from energy, industry, and agriculture. 
 Cite as Hoesly et al. (2024) - Community Emissions Data System (CEDS) with url https://ourworldindata.org/grapher/change-air-pollutant-emissions?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Global warming: Contributions to the change in global mean surface temperature** 
 with short desc: This is shown as a country or region's share of the global mean surface temperature change as a result of its cumulative emissions of three gases – carbon dioxide, methane, and nitrous oxide. 
 Cite as Jones et al. (2024) with url https://ourworldindata.org/grapher/contributions-global-temp-change?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Electronic waste recycling rate** 
 with short desc: The percentage of total electronic waste that is recycled. 
 Cite as United Nations Environment Programme, United Nations Statistics Division and the United Nations Institute for Training and Research with url https://ourworldindata.org/grapher/electronic-waste-recycling-rate?v=1&csvType=full&useColumnShortNames=true

"
Croatia,"14","The UNSDG goal for Croatia has an index of 83 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 9.0 percent are in the years: 2013.
Trends in the SDG indicators used to compute the index: 
Mean area that is protected in marine sites important to biodiversity (%) : 85.0000, Change from previous year in percent: 0.0000
Ocean Health Index: Clean Waters score (worst 0-100 best): 51.0000, Change from previous year in percent: -1.0000
Fish caught from overexploited or collapsed stocks (% of total catch): 93.0000, Change from previous year in percent: 0.0000
Fish caught by trawling or dredging (%): 86.0000, Change from previous year in percent: 0.0000
Fish caught that are then discarded (%): 86.0000, Change from previous year in percent: 0.0000
Marine biodiversity threats embodied in imports (per million population): 98.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Life Below Water is projected to be 93 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal14_projection: 89 
year: 2026, goal14_projection: 92 
year: 2027, goal14_projection: 90 
year: 2028, goal14_projection: 92 
year: 2029, goal14_projection: 95 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Aquaculture production** 
 with short desc: Aquaculture is the farming of aquatic organisms including fish, molluscs, crustaceans and aquatic plants. Aquaculture production specifically refers to output from aquaculture activities, which are designated for final harvest for consumption. 
 Cite as Food and Agriculture Organization of the United Nations, via World Bank (2025) with url https://ourworldindata.org/grapher/aquaculture-farmed-fish-production?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Industrial water as a share of total water withdrawals** 
 with short desc: Industrial water withdrawals as a percentage of total water withdrawals (which is the sum of water used for agriculture, industry, and municipal purposes). 
 Cite as Food and Agriculture Organization of the United Nations, OECD, and World Bank (2025) with url https://ourworldindata.org/grapher/industrial-water-as-a-share-of-total-water-withdrawals?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Number of fishes caught from the wild** 
 with short desc: This data does not include unrecorded fish capture, such as fish caught illegally and those caught as bycatch and discards. Data at the country level is based on the average tonnage of annual catch from 2000 to 2019, and estimated mean weights for fish species. 
 Cite as Mood and Brooke (2024) with url https://ourworldindata.org/grapher/wild-caught-fish?v=1&csvType=full&useColumnShortNames=true

"
Croatia,"15","The UNSDG goal for Croatia has an index of 88 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 21.0 percent are in the years: 2013.
Trends in the SDG indicators used to compute the index: 
Mean area that is protected in terrestrial sites important to biodiversity (%): 82.0000, Change from previous year in percent: 0.0000
Mean area that is protected in freshwater sites important to biodiversity (%): 100.0000, Change from previous year in percent: 0.0000
Red List Index of species survival (worst 0-1 best) : 72.0000, Change from previous year in percent: 0.0000
Permanent deforestation (% of forest area, 3-year average): 100.0000, Change from previous year in percent: 0.0000
Imported deforestation (m²/capita): 87.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Life on Land is projected to be 100 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal15_projection: 99 
year: 2026, goal15_projection: 100 
year: 2027, goal15_projection: 100 
year: 2028, goal15_projection: 100 
year: 2029, goal15_projection: 100 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Agricultural land use per person** 
 with short desc: This dataset is showing estimates of the total agricultural land area – which is the combination of cropland and grazing land – per person. It is measured in hectares per person. 
 Cite as HYDE (2023) with url https://ourworldindata.org/grapher/total-agricultural-land-use-per-person?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Area of permanent meadows and pastures** 
 with short desc: This is the land used for livestock grazing. The total land use for livestock farming is higher as it additionally requires cropland used to grow animal feed. 
 Cite as Food and Agriculture Organization of the United Nations (2024) with url https://ourworldindata.org/grapher/area-of-permanent-meadows-and-pastures?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Land used for agriculture** 
 with short desc: Agricultural land use is the sum of croplands and pasture – land used for grazing livestock. It is measured in hectares. 
 Cite as Taylor & Rising (2021) with url https://ourworldindata.org/grapher/land-use-agriculture-longterm?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Share of land defined as natural habitat** 
 with short desc: Natural ecosystems include forest, grassland, savanna, and shrublands, and other classes such as peatlands and marshes. It is total land minus land that is used by humans for agriculture – either croplands or pasture – or for infrastructure and urban environments. 
 Cite as Taylor & Rising (2021); UN World Population Prospects (2021) with url https://ourworldindata.org/grapher/land-natural-share?v=1&csvType=full&useColumnShortNames=true

"
Croatia,"16","The UNSDG goal for Croatia has an index of 69 in 2024 and this has changed by -2.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2014.
Trends in the SDG indicators used to compute the index: 
Homicides (per 100,000 population): 99.0000, Change from previous year in percent: 0.0000
Crime is effectively controlled (worst 0 - 1 best): 97.0000, Change from previous year in percent: 0.0000
Unsentenced detainees (% of prison population): 57.0000, Change from previous year in percent: 0.0000
Birth registrations with civil authority (% of children under age 5): 100.0000, Change from previous year in percent: 0.0000
Corruption Perceptions Index (worst 0-100 best): 45.0000, Change from previous year in percent: -4.0000
Exports of major conventional weapons (TIV constant million USD per 100,000 population): 76.0000, Change from previous year in percent: 0.0000
Press Freedom Index (worst 0-100 best): 50.0000, Change from previous year in percent: -17.0000
Access to and affordability of justice (worst 0–1 best): 89.0000, Change from previous year in percent: 0.0000
Timeliness of administrative proceedings (worst 0 - 1 best): 42.0000, Change from previous year in percent: 0.0000
Expropriations are lawful and adequately compensated (worst 0 - 1 best): 39.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Peace, Justice, and Strong Instiutions is projected to be 74 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal16_projection: 73 
year: 2026, goal16_projection: 73 
year: 2027, goal16_projection: 73 
year: 2028, goal16_projection: 73 
year: 2029, goal16_projection: 73 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Key features of women's political empowerment** 
 with short desc: The [indices](#dod:key-indices-women-political-empowerment) are by [V-Dem](#dod:v-dem), based on expert estimates, and range from 0 to 1 (most empowered). 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-features-of-womens-political-empowerment?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Deaths in armed conflicts** 
 with short desc: Included are deaths of combatants and civilians due to fighting in [armed conflicts](#dod:armed-conflict-ucdp) that were ongoing that year. 
 Cite as Uppsala Conflict Data Program (2025); geoBoundaries (2023) with url https://ourworldindata.org/grapher/deaths-in-armed-conflicts?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Terrorist attacks, deaths and injuries** 
 with short desc: Confirmed deaths and injuries include all victims and attackers who died or were hurt because of a [terrorist attack](#dod:terrorism). 
 Cite as Global Terrorism Database (2022) with url https://ourworldindata.org/grapher/terrorist-attacks-fatalities-and-injuries?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Key media freedoms** 
 with short desc: The scores are by [V-Dem](#dod:v-dem) and based on expert estimates. Higher scores indicate more freedom. A score of 0 is approximately the average across all countries and years. 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-media-freedoms?v=1&csvType=full&useColumnShortNames=true

5. Chart Title: **Democracy index by source** 
 with short desc: The indices are normalized to range from 0 to 1. The data is still not directly comparable because the sources have different definitions of democracy. The number of available sources differs by country or region. 
 Cite as V-Dem (2025) and other sources with url https://ourworldindata.org/grapher/democracy-index-by-source?v=1&csvType=full&useColumnShortNames=true

6. Chart Title: **Key features of democracy** 
 with short desc: The [indices](#dod:key-indices-democracy-vdem) are by [V-Dem](#dod:v-dem), based on expert estimates, and range from 0 to 1 (most democratic). 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-features-of-democracy?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"2","The UNSDG goal for Cuba has an index of 66 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 1.0 percent are in the years: 2001, 2002, 2003, 2012, 2015, 2021.
Trends in the SDG indicators used to compute the index: 
Prevalence of undernourishment (%): 100.0000, Change from previous year in percent: 0.0000
Prevalence of stunting in children under 5 years of age (%): 82.0000, Change from previous year in percent: 0.0000
Prevalence of wasting in children under 5 years of age (%): 88.0000, Change from previous year in percent: 0.0000
Minimum dietary diversity among children aged 6-23 months (%): 68.0000, Change from previous year in percent: 0.0000
Prevalence of obesity, BMI ≥ 30 (% of adult population): 41.0000, Change from previous year in percent: 0.0000
Human Trophic Level (best 2-3 worst): 54.0000, Change from previous year in percent: 0.0000
Cereal yield (tonnes per hectare of harvested land): 32.0000, Change from previous year in percent: 0.0000
Sustainable Nitrogen Management Index (best 0-1.41 worst): 29.0000, Change from previous year in percent: 0.0000
Exports of hazardous pesticides (tonnes per million population): 100.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Zero Hunger is projected to be 62 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal2_projection: 63 
year: 2026, goal2_projection: 63 
year: 2027, goal2_projection: 63 
year: 2028, goal2_projection: 62 
year: 2029, goal2_projection: 62 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of people who are undernourished** 
 with short desc:
 Cite as Food and Agriculture Organization of the United Nations (2025) with url https://ourworldindata.org/grapher/prevalence-of-undernourishment?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Daily protein supply from animal and plant-based foods** 
 with short desc: Daily per capita protein supply is measured in grams per person per day. Protein of animal origin includes protein from all meat commodities, eggs and dairy products, and fish & seafood. 
 Cite as Food and Agriculture Organization of the United Nations (2024) with url https://ourworldindata.org/grapher/daily-protein-supply-from-animal-and-plant-based-foods?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Share of children who have anemia** 
 with short desc: Share of children under the age of five with anemia. Anemia is a condition that develops when your blood lacks enough healthy red blood cells or hemoglobin. 
 Cite as World Health Organization, via World Bank (2025) with url https://ourworldindata.org/grapher/prevalence-of-anemia-in-children?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Share of women of reproductive age who have anemia** 
 with short desc: Share of women of reproductive age (aged 15-49) with anemia. Anemia is a condition that develops when your blood lacks enough healthy red blood cells or hemoglobin. 
 Cite as World Health Organization, via World Bank (2025) with url https://ourworldindata.org/grapher/prevalence-of-anemia-in-women-of-reproductive-age-aged-15-29?v=1&csvType=full&useColumnShortNames=true

5. Chart Title: **Daily supply of calories per person** 
 with short desc: Measured in kilocalories per person per day. This indicates the calories that are available for consumption, but does not necessarily measure the number of calories actually consumed, since it doesn't factor in consumer waste. 
 Cite as Food and Agriculture Organization of the United Nations (2024) and other sources with url https://ourworldindata.org/grapher/daily-per-capita-caloric-supply?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"3","The UNSDG goal for Cuba has an index of 85 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2004, 2005, 2022.
Trends in the SDG indicators used to compute the index: 
Maternal mortality ratio (per 100,000 live births) : 96.0000, Change from previous year in percent: 0.0000
Neonatal mortality rate (per 1,000 live births): 92.0000, Change from previous year in percent: 0.0000
Mortality rate, under-5 (per 1,000 live births): 96.0000, Change from previous year in percent: 0.0000
Incidence of tuberculosis (per 100,000 population): 99.0000, Change from previous year in percent: 0.0000
New HIV infections (per 1,000 uninfected population, all ages): 97.0000, Change from previous year in percent: 0.0000
Age-standardized death rate due to cardiovascular disease, cancer, diabetes, or chronic respiratory disease in adults aged 30 to 70 years (%): 62.0000, Change from previous year in percent: 0.0000
Age-standardized death rate attributable to household air pollution and ambient air pollution (per 100,000 population): 89.0000, Change from previous year in percent: 0.0000
Traffic deaths (per 100,000 population): 93.0000, Change from previous year in percent: 0.0000
Life expectancy at birth (years): 83.0000, Change from previous year in percent: 0.0000
Adolescent fertility rate (births per 1,000 females aged 15 to 19): 67.0000, Change from previous year in percent: 0.0000
Births attended by skilled health personnel (%): 100.0000, Change from previous year in percent: 0.0000
Surviving infants who received 2 WHO-recommended vaccines (%): 98.0000, Change from previous year in percent: 0.0000
Universal health coverage (UHC) index of service coverage (worst 0-100 best): 72.0000, Change from previous year in percent: 0.0000
Subjective well-being (average ladder score, worst 0-10 best): 49.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Good Health and Well-Being is projected to be 85 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal3_projection: 84 
year: 2026, goal3_projection: 84 
year: 2027, goal3_projection: 84 
year: 2028, goal3_projection: 85 
year: 2029, goal3_projection: 85 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Child mortality rate** 
 with short desc: Estimated share of newborns who die before reaching the age of five. 
 Cite as Gapminder (2015); UN Inter-agency Group for Child Mortality Estimation (2025) with url https://ourworldindata.org/grapher/child-mortality?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Maternal mortality ratio** 
 with short desc: Estimated number of women who die from [maternal conditions](#dod:maternal-mortality) per 100,000 live births. 
 Cite as UN MMEIG (2023) with url https://ourworldindata.org/grapher/maternal-mortality-slope-chart?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Infectious and parasitic diseases death rate** 
 with short desc: The reported annual death rate from [infectious](#dod:communicable-diseases) and [parasitic diseases](#dod:parasitic-infection) per 100,000 people, based on the [underlying cause](#dod:underlying-cause-of-death) listed on death certificates. 
 Cite as WHO Mortality Database (2025) with url https://ourworldindata.org/grapher/infectious-and-parasitic-diseases-death-rate-who-mdb?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Life expectancy** 
 with short desc:
 Cite as Riley (2005); Zijdeman et al. (2015); HMD (2024); UN WPP (2024) with url https://ourworldindata.org/grapher/life-expectancy?v=1&csvType=full&useColumnShortNames=true

5. Chart Title: **Vaccination coverage** 
 with short desc: Share of one-year-olds who have been immunized against a disease or a pathogen. 
 Cite as WHO & UNICEF (2025); UN, World Population Prospects (2024) with url https://ourworldindata.org/grapher/global-vaccination-coverage?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"4","The UNSDG goal for Cuba has an index of 94 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2003.
Trends in the SDG indicators used to compute the index: 
Participation rate in pre-primary organized learning (% of children aged 4 to 6): 99.0000, Change from previous year in percent: 0.0000
Net primary enrollment rate (%): 93.0000, Change from previous year in percent: 0.0000
Lower secondary completion rate (%): 86.0000, Change from previous year in percent: 0.0000
Literacy rate (% of population aged 15 to 24): 100.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Quality Education is projected to be 94 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal4_projection: 94 
year: 2026, goal4_projection: 94 
year: 2027, goal4_projection: 94 
year: 2028, goal4_projection: 94 
year: 2029, goal4_projection: 94 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of children in primary school age who are in school** 
 with short desc: Share of children of who are enrolled in [primary](#dod:primary-education) education amongst the total population of children of official primary school age. 
 Cite as UNESCO Institute for Statistics (2025); Lee and Lee (2016) with url https://ourworldindata.org/grapher/primary-enrollment-selected-countries?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Literacy rate of young men and women** 
 with short desc: Share of male and female population aged 15-24 who can both read and write a short, simple statement about their everyday life. 
 Cite as UNESCO Institute for Statistics (UIS), via World Bank (2025) with url https://ourworldindata.org/grapher/literacy-rate-of-young-men-and-women-line?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"5","The UNSDG goal for Cuba has an index of 82 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 5.0 percent are in the years: 2004.
Trends in the SDG indicators used to compute the index: 
Demand for family planning satisfied by modern methods (% of females aged 15 to 49): 77.0000, Change from previous year in percent: 0.0000
Ratio of female-to-male mean years of education received (%): 100.0000, Change from previous year in percent: 0.0000
Ratio of female-to-male labor force participation rate (%): 49.0000, Change from previous year in percent: -1.0000
Seats held by women in national parliament (%): 100.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Gender Equality is projected to be 94 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal5_projection: 90 
year: 2026, goal5_projection: 91 
year: 2027, goal5_projection: 92 
year: 2028, goal5_projection: 93 
year: 2029, goal5_projection: 94 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Gender gap in primary, secondary and tertiary education** 
 with short desc: Share of boys or girls within the relevant age group who are enrolled in [primary](#dod:primary-education), [lower secondary](#dod:lower-secondary-education), [upper secondary](#dod:upper-secondary-education), and [tertiary](#dod:tertiary-education) education. 
 Cite as Multiple sources compiled by World Bank (2024); Lee and Lee (2016); UNESCO Institute for Statistics (2025) with url https://ourworldindata.org/grapher/gender-gap-education-levels?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Key features of women's political empowerment** 
 with short desc: The [indices](#dod:key-indices-women-political-empowerment) are by [V-Dem](#dod:v-dem), based on expert estimates, and range from 0 to 1 (most empowered). 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-features-of-womens-political-empowerment?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"6","The UNSDG goal for Cuba has an index of 75 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 1.0 percent are in the years: 2003, 2007, 2010, 2013.
Trends in the SDG indicators used to compute the index: 
Population using at least basic drinking water services (%): 91.0000, Change from previous year in percent: 0.0000
Population using at least basic sanitation services (%): 91.0000, Change from previous year in percent: 0.0000
Freshwater withdrawal (% of available freshwater resources): 87.0000, Change from previous year in percent: 0.0000
Anthropogenic wastewater that receives treatment (%): 11.0000, Change from previous year in percent: 0.0000
Scarce water consumption embodied in imports (m³ H₂Oeq/capita): 97.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Clean Water and Sanitation is projected to be 96 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal6_projection: 92 
year: 2026, goal6_projection: 93 
year: 2027, goal6_projection: 94 
year: 2028, goal6_projection: 95 
year: 2029, goal6_projection: 96 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Drinking water services usage in rural areas** 
 with short desc: Rural population using the five different levels of drinking water services: [safely managed](#dod:water-safely-managed); [basic](#dod:water-basic), [limited](#dod:water-limited), [unimproved](#dod:water-unimproved) and [surface water](#dod:water-surface-water). 
 Cite as WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) (2024) with url https://ourworldindata.org/grapher/drinking-water-services-coverage-rural?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Share of the population with access to basic services** 
 with short desc:
 Cite as Data compiled from multiple sources by World Bank; World Health Organization (via World Bank); WHO/UNICEF Joint Monitoring Programme (JMP), via World Bank (2025) with url https://ourworldindata.org/grapher/access-to-basic-services?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **People using at least a basic drinking water source** 
 with short desc: Basic drinking water services are defined as an improved drinking water source, provided collection time is not more than 30 minutes for a roundtrip including queuing. 
 Cite as WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) (2024) with url https://ourworldindata.org/grapher/people-with-access-to-at-least-basic-drinking-water?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"7","The UNSDG goal for Cuba has an index of 76 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2011, 2014.
Trends in the SDG indicators used to compute the index: 
Population with access to electricity (%): 100.0000, Change from previous year in percent: 0.0000
Population with access to clean fuels and technology for cooking (%): 95.0000, Change from previous year in percent: 0.0000
CO₂ emissions from fuel combustion per total electricity output (MtCO₂/TWh): 74.0000, Change from previous year in percent: 0.0000
Renewable energy share in total final energy consumption (%): 34.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Affordable and Clean Energy is projected to be 73 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal7_projection: 73 
year: 2026, goal7_projection: 73 
year: 2027, goal7_projection: 73 
year: 2028, goal7_projection: 73 
year: 2029, goal7_projection: 73 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of electricity generation from fossil fuels, renewables and nuclear** 
 with short desc: Measured as a percentage of total electricity produced in the country or region. Fossil fuels include coal, oil, and gas. Renewables include solar, wind, hydropower, bioenergy, geothermal, wave, and tidal. 
 Cite as Ember (2025); Energy Institute - Statistical Review of World Energy (2025) with url https://ourworldindata.org/grapher/electricity-fossil-renewables-nuclear-line?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Primary energy consumption by source** 
 with short desc: [Primary energy](#dod:primaryenergy) is measured in [terawatt-hours](#dod:watt-hours), using the [substitution method](#dod:substitutionmethod). 
 Cite as Energy Institute - Statistical Review of World Energy (2025) with url https://ourworldindata.org/grapher/primary-sub-energy-source?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"9","The UNSDG goal for Cuba has an index of 37 in 2024 and this has changed by -1.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2012, 2016, 2017, 2018, 2019, 2023.
Trends in the SDG indicators used to compute the index: 
Rural population with access to all-season roads (%): 90.0000, Change from previous year in percent: -5.0000
Population using the internet (%): 71.0000, Change from previous year in percent: 0.0000
Mobile broadband subscriptions (per 100 population): 48.0000, Change from previous year in percent: 0.0000
Logistics Performance Index: Infrastructure Score (worst 1-5 best): 27.0000, Change from previous year in percent: 0.0000
The Times Higher Education Universities Ranking: Average score of top 3 universities (worst 0-100 best): 36.0000, Change from previous year in percent: 4.0000
Articles published in academic journals (per 1,000 population): 14.0000, Change from previous year in percent: 0.0000
Expenditure on research and development (% of GDP): 10.0000, Change from previous year in percent: 0.0000
Total patent applications by applicant's origin (per million population): 5.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Industries,Innovation, and Infrastructure is projected to be 39 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal9_projection: 35 
year: 2026, goal9_projection: 36 
year: 2027, goal9_projection: 37 
year: 2028, goal9_projection: 38 
year: 2029, goal9_projection: 38 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Landline Internet subscriptions per 100 people** 
 with short desc: Subscriptions to fixed access to the public Internet with a download speed of at least 256 kbit/s. 
 Cite as International Telecommunication Union (ITU), via World Bank (2025) with url https://ourworldindata.org/grapher/broadband-penetration-by-country?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Adoption of communication technologies per 100 people** 
 with short desc:
 Cite as International Telecommunication Union (ITU), via World Bank (2025) with url https://ourworldindata.org/grapher/ict-adoption-per-100-people?v=1&csvType=full&useColumnShortNames=true

"
Cuba,"11","The UNSDG goal for Cuba has an index of 84 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 0.0 percent are in the years: 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024.
Trends in the SDG indicators used to compute the index: 
Proportion of urban population living in slums (%): 88.0000, Change from previous year in percent: 0.0000
Annual mean concentration of PM2.5 (μg/m³): 96.0000, Change from previous year in percent: 0.0000
Access to improved water source, piped (% of urban population): 86.0000, Change from previous year in percent: 0.0000
Population with convenient access to public transport in cities (%): 67.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Sustainable Cities and Communities is projected to be 83 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal11_projection: 84 
year: 2026, goal11_projection: 83 
year: 2027, goal11_projection: 83 
year: 2028, goal11_projection: 83 
year: 2029, goal11_projection: 83 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of people living in urban areas** 
 with short desc: The urban area is the share of people living in[cities](#dod:cities-degurba) and [towns](#dod:towns-degurba), as estimated by the European Commission using satellite imagery and census data. This differs from UN figures, which rely on national urban definitions. 
 Cite as European Commission, Joint Research Centre (JRC) (2024) with url https://ourworldindata.org/grapher/urban-share-european-commission?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Population density of the capital city** 
 with short desc: The number of people per km² of land area for the country's capital city. 
 Cite as European Commission, Joint Research Centre (JRC) (2024) with url https://ourworldindata.org/grapher/population-density-of-the-capital-city?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Share of the population with access to basic services** 
 with short desc:
 Cite as Data compiled from multiple sources by World Bank; World Health Organization (via World Bank); WHO/UNICEF Joint Monitoring Programme (JMP), via World Bank (2025) with url https://ourworldindata.org/grapher/access-to-basic-services?v=1&csvType=full&useColumnShortNames=true

"
